,AREA,PERIMETER,ANGLE,FERET,FERETX,FERETY,FERETZ,MINFERET,LENGTH,TYPE,,,,,,,,,,,
1,199,198.023,0.868,198.023,552,660,0.868,0,198.023,First,,,,,,,,,,,
2,64,63.285,-84.56,63.285,654,633,95.44,0,63.285,First,,,,,,,,,,,
3,143,142.302,-18.435,142.302,588,630,161.565,0,142.302,First,,,,,,,,,,,
4,143,141.51,21.125,141.51,588,681,21.125,0,141.51,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,125,123.584,-5.572,123.584,486,558,174.428,0,123.584,First,,,,,,,,,,,
2,68,66.611,-97.765,66.611,543,606,82.235,0,66.611,First,,,,,,,,,,,
3,98,96.747,-29.745,96.747,498,540,150.255,0,96.747,First,,,,,,,,,,,
4,117,95.64733332,-168.111,116.499,486,579,11.889,0,116.499,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,165,163.768,-8.427,163.768,594,549,171.573,0,163.768,First,,,,,,,,,,,
2,58,57,-90,57,678,534,90,0,57,First,,,,,,,,,,,
3,128,127.456,-26.565,127.456,621,537,153.435,0,127.456,First,,,,,,,,,,,
4,148,147.031,-178.831,147.031,597,561,1.169,0,147.031,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,113,112.009,-7.696,112.009,564,510,172.304,0,112.009,First,,,,,,,,,,,
2,49,48.374,-97.125,48.374,612,540,82.875,0,48.374,First,,,,,,,,,,,
3,85,83.57,-21.038,83.57,576,498,158.962,0,83.57,First,,,,,,,,,,,
4,89,88.233,-162.181,88.233,570,528,17.819,0,88.233,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,97,96.187,-3.576,96.187,576,516,176.424,0,96.187,First,,,,,,,,,,,
2,40,39.459,-98.746,39.459,615,543,81.254,0,39.459,First,,,,,,,,,,,
3,68,67.417,-32.276,67.417,585,504,147.724,0,67.417,First,,,,,,,,,,,
4,77,75.895,-161.565,75.895,582,528,18.435,3.55E-15,75.895,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,97,96.187,-3.576,96.187,388,420,176.424,0,96.187,First,,,,,,,,,,,
2,37,36.222,-96.34,36.222,430,444,83.66,0,36.222,First,,,,,,,,,,,
3,75,73.539,-22.38,73.539,392,412,157.62,0,73.539,First,,,,,,,,,,,
4,64,62.61,-153.435,62.61,402,442,26.565,0,62.61,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,73,72.25,4.764,72.25,414,636,4.764,0,72.25,First,,,,,,,,,,,
2,29,28.46,-71.565,28.46,447,627,108.435,0,28.46,First,,,,,,,,,,,
3,48,47.434,-145.305,47.434,438,654,34.695,0,47.434,First,,,,,,,,,,,
4,48,46.957,-26.565,46.957,432,627,153.435,0,46.957,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,122,120.599,-5.711,120.599,615,498,174.289,1.78E-15,120.599,First,,,,,,,,,,,
2,37,36,-90,36,678,492,90,0,36,First,,,,,,,,,,,
3,94,93.048,159.228,93.048,624,495,159.228,0,93.048,First,,,,,,,,,,,
4,101,99.725,-164.291,99.725,636,522,15.709,3.55E-15,99.725,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,88,87.361,-15.945,87.361,570,528,164.055,0,87.361,First,,,,,,,,,,,
2,48,46.573,-104.931,46.573,606,564,75.069,1.78E-15,46.573,First,,,,,,,,,,,
3,69,68.411,-37.875,68.411,570,522,142.125,0,68.411,First,,,,,,,,,,,
4,65,63.569,-160.71,63.569,582,555,19.29,0,63.569,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,111,110.064,-17.447,110.064,564,582,162.553,0,110.064,First,,,,,,,,,,,
2,36,34.986,-120.964,34.986,624,618,59.036,0,34.986,First,,,,,,,,,,,
3,90,89.045,-32.619,89.045,582,579,147.381,0,89.045,First,,,,,,,,,,,
4,85,84,180,84,576,597,0,0,84,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,76,75.24,4.574,75.24,507,540,4.574,0,75.24,First,,,,,,,,,,,
2,37,36.125,-85.236,36.125,537,525,94.764,0,36.125,First,,,,,,,,,,,
3,60,59.093,-23.962,59.093,510,528,156.038,0,59.093,First,,,,,,,,,,,
4,63,61.847,-157.166,61.847,510,552,22.834,0,61.847,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,94,92.612,24.905,92.612,528,501,24.905,0,92.612,First,,,,,,,,,,,
2,44,43.267,-33.69,43.267,546,465,146.31,0,43.267,First,,,,,,,,,,,
3,86,85.329,10.125,85.329,528,486,10.125,0,85.329,First,,,,,,,,,,,
4,69,67.882,-135,67.882,537,507,45,0,67.882,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,95,93.963,16.699,93.963,594,573,16.699,0,93.963,First,,,,,,,,,,,
2,44,42.953,-65.225,42.953,633,540,114.775,0,42.953,First,,,,,,,,,,,
3,70,69,0,69,612,558,0,0,69,First,,,,,,,,,,,
4,72,70.803,-143.616,70.803,615,579,36.384,0,70.803,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,95,93.963,-16.699,93.963,552,420,163.301,0,93.963,First,,,,,,,,,,,
2,38,36.62,-145.008,36.62,588,441,34.992,0,36.62,First,,,,,,,,,,,
3,65,63.781,-41.186,63.781,576,411,138.814,3.55E-15,63.781,First,,,,,,,,,,,
4,74,72.993,-170.538,72.993,558,435,9.462,0,72.993,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,94,92.65,32.661,92.65,618,346,32.661,0,92.65,First,,,,,,,,,,,
2,39,38.21,-47.121,38.21,638,308,132.879,0,38.21,First,,,,,,,,,,,
3,92,91.214,15.255,91.214,612,330,15.255,0,91.214,First,,,,,,,,,,,
4,72,71.218,-128.157,71.218,632,348,51.843,0,71.218,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,90,89.286,15.593,89.286,512,332,15.593,0,89.286,First,,,,,,,,,,,
2,31,29.732,-70.346,29.732,542,306,109.654,0,29.732,First,,,,,,,,,,,
3,71,70.114,-3.27,70.114,514,318,176.73,0,70.114,First,,,,,,,,,,,
4,51,49.518,-133.363,49.518,530,338,46.637,0,49.518,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,73,72.062,2.386,72.062,582,408,2.386,0,72.062,First,,,,,,,,,,,
2,34,33,-90,33,618,390,90,0,33,First,,,,,,,,,,,
3,69,68.411,-15.255,68.411,588,399,164.745,0,68.411,First,,,,,,,,,,,
4,54,53.413,-128.157,53.413,603,429,51.843,0,53.413,First,,,,,,,,,,,
,,,,,,,,,,First,,,,,,,,,,,
1,75,74.216,14.036,74.216,558,483,14.036,0,74.216,First,,,,,,,,,,,
2,43,41.677,-59.744,41.677,582,459,120.256,0,41.677,First,,,,,,,,,,,
