,AREA,PERIMETER,ANGLE,FERET,FERETX,FERETY,FERETZ,MINFERET,LENGTH,Area/Perimeter,Perimeter/Angle,Area/Angle,Area/FeretX,Area/FeretY,Area/FeretZ,Perimeter/FeretX,Perimeter/FeretY,Perimeter/FeretZ,Angle/FeretX,Angle/FeretY,Angle/FeretZ,TYPE
1,199,198.023,0.868,198.023,552,660,0.868,0,198.023,1.00493377,228.1370968,229.2626728,0.360507246,0.301515152,229.2626728,0.358737319,0.300034848,228.1370968,0.001572464,0.001315152,1,First
2,64,63.285,-84.56,63.285,654,633,95.44,0,63.285,1.011298096,-0.7484035,-0.756859035,0.097859327,0.101105845,0.670578374,0.096766055,0.099976303,0.663086756,-0.129296636,-0.133586098,-0.886001676,First
3,143,142.302,-18.435,142.302,588,630,161.565,0,142.302,1.004905061,-7.719121237,-7.756983998,0.243197279,0.226984127,0.885092687,0.242010204,0.22587619,0.880772445,-0.031352041,-0.029261905,-0.114102683,First
4,143,141.51,21.125,141.51,588,681,21.125,0,141.51,1.010529291,6.698698225,6.769230769,0.243197279,0.209985316,6.769230769,0.240663265,0.207797357,6.698698225,0.035926871,0.031020558,1,First
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,First
1,125,123.584,-5.572,123.584,486,558,174.428,0,123.584,1.011457794,-22.17946877,-22.43359655,0.257201646,0.224014337,0.716628064,0.254288066,0.221476703,0.708510102,-0.011465021,-0.009985663,-0.031944413,First
2,68,66.611,-97.765,66.611,543,606,82.235,0,66.611,1.020852412,-0.681337902,-0.695545441,0.125230203,0.112211221,0.826898523,0.122672192,0.109919142,0.810007904,-0.180046041,-0.161328383,-1.18884903,First
3,98,96.747,-29.745,96.747,498,540,150.255,0,96.747,1.012951306,-3.252546646,-3.294671373,0.196787149,0.181481481,0.652224552,0.194271084,0.179161111,0.643885395,-0.059728916,-0.055083333,-0.197963462,First
4,117,95.64733332,-168.111,116.499,486,579,11.889,0,116.499,1.223243722,-0.568953449,-0.695968735,0.240740741,0.202072539,9.841029523,0.196805213,0.165194013,8.045027615,-0.345907407,-0.29034715,-14.14004542,First
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,First
1,165,163.768,-8.427,163.768,594,549,171.573,0,163.768,1.007522837,-19.43372493,-19.57992168,0.277777778,0.300546448,0.961689776,0.275703704,0.298302368,0.954509159,-0.014186869,-0.015349727,-0.04911612,First
2,58,57,-90,57,678,534,90,0,57,1.01754386,-0.633333333,-0.644444444,0.085545723,0.108614232,0.644444444,0.084070796,0.106741573,0.633333333,-0.132743363,-0.168539326,-1,First
3,128,127.456,-26.565,127.456,621,537,153.435,0,127.456,1.00426814,-4.797891963,-4.818370036,0.206119163,0.238361266,0.834229478,0.205243156,0.237348231,0.830684003,-0.042777778,-0.049469274,-0.173135204,First
4,148,147.031,-178.831,147.031,597,561,1.169,0,147.031,1.006590447,-0.822178481,-0.827597005,0.247906198,0.263814617,126.603935,0.246283082,0.262087344,125.7750214,-0.299549414,-0.318771836,-152.9777588,First
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,First
1,113,112.009,-7.696,112.009,564,510,172.304,0,112.009,1.008847503,-14.55418399,-14.68295218,0.20035461,0.221568627,0.655817625,0.198597518,0.21962549,0.650066162,-0.01364539,-0.015090196,-0.044665243,First
2,49,48.374,-97.125,48.374,612,540,82.875,0,48.374,1.012940836,-0.498059202,-0.504504505,0.080065359,0.090740741,0.591251885,0.079042484,0.089581481,0.583698341,-0.15870098,-0.179861111,-1.171945701,First
3,85,83.57,-21.038,83.57,576,498,158.962,0,83.57,1.017111404,-3.972335773,-4.040308014,0.147569444,0.170682731,0.534718989,0.145086806,0.167811245,0.525723129,-0.036524306,-0.04224498,-0.132346095,First
4,89,88.233,-162.181,88.233,570,528,17.819,0,88.233,1.008692893,-0.544040301,-0.548769585,0.156140351,0.168560606,4.994668612,0.154794737,0.167107955,4.95162467,-0.28452807,-0.307160985,-9.101576968,First
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,First
1,97,96.187,-3.576,96.187,576,516,176.424,0,96.187,1.008452286,-26.89793065,-27.12527964,0.168402778,0.187984496,0.549811817,0.166991319,0.186408915,0.5452036,-0.006208333,-0.006930233,-0.020269351,First
2,40,39.459,-98.746,39.459,615,543,81.254,0,39.459,1.013710434,-0.399600996,-0.405079699,0.06504065,0.073664825,0.492283457,0.064160976,0.072668508,0.485625323,-0.160562602,-0.18185267,-1.215275556,First
3,68,67.417,-32.276,67.417,585,504,147.724,0,67.417,1.00864767,-2.088765646,-2.106828603,0.116239316,0.134920635,0.46031789,0.115242735,0.133763889,0.456371341,-0.05517265,-0.064039683,-0.218488533,First
4,77,75.895,-161.565,75.895,582,528,18.435,3.55E-15,75.895,1.014559589,-0.469749017,-0.47658837,0.132302405,0.145833333,4.176837537,0.13040378,0.14374053,4.116897206,-0.277603093,-0.305994318,-8.764035801,First
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,First
1,97,96.187,-3.576,96.187,388,420,176.424,0,96.187,1.008452286,-26.89793065,-27.12527964,0.25,0.230952381,0.549811817,0.247904639,0.229016667,0.5452036,-0.009216495,-0.008514286,-0.020269351,First
2,37,36.222,-96.34,36.222,430,444,83.66,0,36.222,1.021478659,-0.375980901,-0.384056467,0.086046512,0.083333333,0.442266316,0.084237209,0.081581081,0.43296677,-0.224046512,-0.216981982,-1.151565862,First
3,75,73.539,-22.38,73.539,392,412,157.62,0,73.539,1.019867009,-3.285924933,-3.351206434,0.191326531,0.182038835,0.475827941,0.18759949,0.178492718,0.466558812,-0.057091837,-0.054320388,-0.141987057,First
4,64,62.61,-153.435,62.61,402,442,26.565,0,62.61,1.022200926,-0.408055528,-0.417114739,0.15920398,0.14479638,2.409185018,0.155746269,0.141651584,2.356860531,-0.381679104,-0.347138009,-5.775832863,First
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,First
1,73,72.25,4.764,72.25,414,636,4.764,0,72.25,1.010380623,15.16582704,15.32325777,0.176328502,0.114779874,15.32325777,0.174516908,0.113600629,15.16582704,0.011507246,0.007490566,1,First
2,29,28.46,-71.565,28.46,447,627,108.435,0,28.46,1.018973999,-0.39768043,-0.405226018,0.064876957,0.046251994,0.267441324,0.063668904,0.04539075,0.262461382,-0.160100671,-0.114138756,-0.659980634,First
3,48,47.434,-145.305,47.434,438,654,34.695,0,47.434,1.011932369,-0.326444376,-0.33033963,0.109589041,0.073394495,1.383484652,0.108296804,0.072529052,1.367171062,-0.331746575,-0.222178899,-4.188067445,First
4,48,46.957,-26.565,46.957,432,627,153.435,0,46.957,1.022211811,-1.767626576,-1.806888763,0.111111111,0.076555024,0.312836054,0.108696759,0.074891547,0.306038388,-0.061493056,-0.042368421,-0.173135204,First
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,First
1,122,120.599,-5.711,120.599,615,498,174.289,1.78E-15,120.599,1.011617012,-21.11696726,-21.36228331,0.198373984,0.24497992,0.699986804,0.196095935,0.242166667,0.69194843,-0.009286179,-0.011467871,-0.032767415,First
2,37,36,-90,36,678,492,90,0,36,1.027777778,-0.4,-0.411111111,0.054572271,0.075203252,0.411111111,0.053097345,0.073170732,0.4,-0.132743363,-0.182926829,-1,First
3,94,93.048,159.228,93.048,624,495,159.228,0,93.048,1.010231278,0.584369583,0.590348431,0.150641026,0.18989899,0.590348431,0.149115385,0.187975758,0.584369583,0.255173077,0.321672727,1,First
4,101,99.725,-164.291,99.725,636,522,15.709,3.55E-15,99.725,1.012785159,-0.607002209,-0.614762829,0.158805031,0.19348659,6.429435356,0.156800314,0.191044061,6.348271691,-0.258319182,-0.314733716,-10.45839964,First
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,First
1,88,87.361,-15.945,87.361,570,528,164.055,0,87.361,1.007314477,-5.478896206,-5.518971464,0.154385965,0.166666667,0.536405474,0.153264912,0.165456439,0.532510439,-0.027973684,-0.030198864,-0.097193015,First
2,48,46.573,-104.931,46.573,606,564,75.069,1.78E-15,46.573,1.03064007,-0.44384405,-0.457443463,0.079207921,0.085106383,0.639411741,0.076853135,0.082576241,0.620402563,-0.173153465,-0.186047872,-1.397794029,First
3,69,68.411,-37.875,68.411,570,522,142.125,0,68.411,1.008609727,-1.806231023,-1.821782178,0.121052632,0.132183908,0.485488127,0.120019298,0.131055556,0.481343887,-0.066447368,-0.072557471,-0.266490765,First
4,65,63.569,-160.71,63.569,582,555,19.29,0,63.569,1.022510972,-0.395550992,-0.40445523,0.111683849,0.117117117,3.369621566,0.109225086,0.114538739,3.295438051,-0.276134021,-0.289567568,-8.33125972,First
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,First
1,111,110.064,-17.447,110.064,564,582,162.553,0,110.064,1.008504143,-6.308477102,-6.362125294,0.196808511,0.190721649,0.682854208,0.195148936,0.189113402,0.677096086,-0.030934397,-0.029977663,-0.107331147,First
2,36,34.986,-120.964,34.986,624,618,59.036,0,34.986,1.028983022,-0.289226547,-0.297609206,0.057692308,0.058252427,0.609797412,0.056067308,0.05661165,0.592621451,-0.193852564,-0.195734628,-2.048987059,First
3,90,89.045,-32.619,89.045,582,579,147.381,0,89.045,1.010724914,-2.729850701,-2.759128116,0.154639175,0.155440415,0.610662161,0.152998282,0.153791019,0.604182357,-0.056046392,-0.056336788,-0.221324323,First
4,85,84,180,84,576,597,0,0,84,1.011904762,0.466666667,0.472222222,0.147569444,0.142378559,0,0.145833333,0.140703518,0,0.3125,0.301507538,0,First
,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,First
1,76,75.24,4.574,75.24,507,540,4.574,0,75.24,1.01010101,16.44949716,16.61565369,0.149901381,0.140740741,16.61565369,0.148402367,0.139333333,16.44949716,0.009021696,0.00847037,1,First
2,37,36.125,-85.236,36.125,537,525,94.764,0,36.125,1.024221453,-0.423823267,-0.434088883,0.068901304,0.07047619,0.390443628,0.067271881,0.068809524,0.381210164,-0.158726257,-0.162354286,-0.899455489,First
3,60,59.093,-23.962,59.093,510,528,156.038,0,59.093,1.015348688,-2.466113012,-2.503964611,0.117647059,0.113636364,0.384521719,0.115868627,0.111918561,0.378709032,-0.046984314,-0.045382576,-0.153565157,First
4,63,61.847,-157.166,61.847,510,552,22.834,0,61.847,1.01864278,-0.393513864,-0.400850057,0.123529412,0.114130435,2.759043532,0.121268627,0.112041667,2.708548656,-0.308168627,-0.284721014,-6.882981519,First
